,X,Y,OBJECTID,Code,Power_Plant_Name,Utility_Name,Utility_ID,Sector_Name,City,County,State,Zip,Street_Address,PrimSource,Install_MW,Total_MW,Coal_MW,NG_MW,Crude_MW,Hydro_MW,HydroPS_MW,Nuclear_MW,Solar_MW,Wind_MW,Source_Desc,Technology_Desc,Data_Source,Period,Latitude,Longitude,Geoth_MW,Battery_MW,Others_MW,Biomass_MW,x_en,y_en,LAT,LON
349,-70.856389,42.261111,350,56800,Hull Wind II,Hull Municipal Light Plant,8797,Electric Utility,Hull,Plymouth,Massachusetts,2045,Dump Access Road,wind,1.8,1.8,0,0.0,0,0,0,0,0.0,1.8,Wind = 1.8 MW,Onshore Wind Turbine,"EIA-860, EIA-860M and EIA-923",202001,42.261111,-70.856389,0,0.0,0,0,-7887697.14293011,5200173.209570977,42.261111,-70.856389
350,-99.3828,35.535,351,56804,Red Hills Wind Project LLC,Acciona Wind Energy USA LLC,55918,IPP Non-CHP,Hammon,Roger Mills,Oklahoma,73650,10217 N 2020 Rd,wind,123.0,123.0,0,0.0,0,0,0,0,0.0,123.0,Wind = 123 MW,Onshore Wind Turbine,"EIA-860, EIA-860M and EIA-923",202001,35.535,-99.3828,0,0.0,0,0,-11063242.68960975,4236825.291064846,35.535,-99.3828
351,-89.878428,42.451481,352,56805,EcoGrove Wind LLC,Acciona Wind Energy USA LLC,55918,IPP Non-CHP,Lena,Stephenson,Illinois,61048,9370 N Baker Rd,wind,100.5,100.5,0,0.0,0,0,0,0,0.0,100.5,Wind = 100.5 MW,Onshore Wind Turbine,"EIA-860, EIA-860M and EIA-923",202001,42.451481,-89.878428,0,0.0,0,0,-10005220.838259902,5228850.872584228,42.451481,-89.878428
352,-94.93,42.1622,353,56809,Carroll Wind Farm,MidAmerican Energy Co,12341,Electric Utility,Carroll,Carroll,Iowa,51401,1832 Industrial Park Road,wind,150.0,159.1,0,0.0,0,0,0,0,0.0,159.1,Wind = 159.1 MW,Onshore Wind Turbine,"EIA-860, EIA-860M and EIA-923",202001,42.1622,-94.93,0,0.0,0,0,-10567559.261005461,5185307.268639052,42.1622,-94.93
353,-94.665,41.4236,354,56810,Adair Wind Farm,MidAmerican Energy Co,12341,Electric Utility,Adair,Adair,Iowa,50002,106 Hillcrest St.,wind,174.8,174.8,0,0.0,0,0,0,0,0.0,174.8,Wind = 174.8 MW,Onshore Wind Turbine,"EIA-860, EIA-860M and EIA-923",202001,41.4236,-94.665,0,0.0,0,0,-10538059.595945243,5075024.782231365,41.4236,-94.665
354,-95.2383,41.4517,355,56811,Walnut Wind Farm,MidAmerican Energy Co,12341,Electric Utility,Walnut,Pottawattamie,Iowa,51577,236 Pearl St.,wind,153.0,165.2,0,0.0,0,0,0,0,0.0,165.2,Wind = 165.2 MW,Onshore Wind Turbine,"EIA-860, EIA-860M and EIA-923",202001,41.4517,-95.2383,0,0.0,0,0,-10601879.060017027,5079197.353203518,41.4517,-95.2383
355,-101.161472,38.503167,356,56818,Central Plains Wind Farm,"Evergy Kansas Central, Inc",22500,Electric Utility,Marienthal,Wichita,Kansas,67863,206 N. County Road 25,wind,99.0,99.0,0,0.0,0,0,0,0,0.0,99.0,Wind = 99 MW,Onshore Wind Turbine,"EIA-860, EIA-860M and EIA-923",202001,38.503167,-101.161472,0,0.0,0,0,-11261243.550938003,4650752.326009978,38.503167,-101.161472
356,-98.460278,37.369167,357,56819,Flat Ridge Wind Farm,"Evergy Kansas Central, Inc",22500,Electric Utility,Nashville,Barber,Kansas,67112,7329 NE Ridge Road,wind,50.0,50.0,0,0.0,0,0,0,0,0.0,50.0,Wind = 50 MW,Onshore Wind Turbine,"EIA-860, EIA-860M and EIA-923",202001,37.369167,-98.460278,0,0.0,0,0,-10960548.010324156,4490689.589728607,37.369167,-98.460278
357,-99.4228,32.7683,358,56823,Hackberry Wind Farm,Hackberry Wind LLC,56033,IPP Non-CHP,Albany,Shackelford,Texas,76430,177 Private Road,wind,165.6,162.3,0,0.0,0,0,0,0,0.0,162.3,Wind = 162.3 MW,Onshore Wind Turbine,"EIA-860, EIA-860M and EIA-923",202001,32.7683,-99.4228,0,0.0,0,0,-11067695.46924148,3864589.892375494,32.7683,-99.4228
358,-95.8222,44.3236,359,56824,Marshall Wind 2 LLC,"Marshall Wind Farm, LLC",63166,IPP Non-CHP,Marshall,Lyon,Minnesota,56258,1917 County Road 7,wind,4.2,4.2,0,0.0,0,0,0,0,0.0,4.2,Wind = 4.2 MW,Onshore Wind Turbine,"EIA-860, EIA-860M and EIA-923",202001,44.3236,-95.8222,0,0.0,0,0,-10666878.510691218,5515657.360037028,44.3236,-95.8222
359,-95.7942,44.3211,360,56825,Marshall Wind 3 LLC,"Marshall Wind Farm, LLC",63166,IPP Non-CHP,Marshall,Lyon,Minnesota,56258,1862 250th Avenue,wind,4.2,4.2,0,0.0,0,0,0,0,0.0,4.2,Wind = 4.2 MW,Onshore Wind Turbine,"EIA-860, EIA-860M and EIA-923",202001,44.3211,-95.7942,0,0.0,0,0,-10663761.564949008,5515268.359682791,44.3211,-95.7942
